Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Alnus_glutinosa_Chromosome	-	-	5244	-	2357	3993	6439	235
Amborella_trichopoda_Chloroplast	-	-	193	-	3908	-	-	1729
Carex_acutiformis_Chromosome	-	-	7061	4965	2701	-	21043	31578
Carex_acutiformis_Mitochondrion	-	-	-	-	151	-	756	-
Carex_echinata_Chloroplast	-	-	5098	4629	1521	477	14548	17347
Carex_echinata_Chromosome	-	-	2350	3358	1273	925	9120	15128
Carex_echinata_Mitochondrion	-	-	-	-	151	-	1057	185
Carex_elata_Chromosome	-	-	2202	3579	2296	1143	16296	46780
Carex_elata_Mitochondrion	-	-	-	-	151	-	756	-
Carex_myosuroides_Chromosome	-	-	3957	3886	1468	-	14413	23674
Carex_nigra_Chloroplast	-	-	11608	12905	2005	-	30660	47684
Carex_nigra_Chromosome	-	-	1580	4758	1092	500	15930	51208
Carex_nigra_Mitochondrion	-	-	-	-	-	-	758	-
Carex_rostrata_Chloroplast	-	786	20000	20813	4066	2277	57644	89882
Carex_rostrata_Chromosome	-	-	7585	9749	1616	367	37556	85721
Carex_rostrata_Mitochondrion	-	-	-	-	151	-	756	-
Carex_sylvatica_Chloroplast	-	-	9372	10708	2769	-	30959	39580
Carex_sylvatica_Chromosome	-	-	2943	3431	1864	-	16925	21354
Carex_sylvatica_Mitochondrion	-	-	-	-	-	-	944	500
Carica_papaya_Chloroplast	4094	-	921	525	5402	82	-	2949
Carica_papaya_Mitochondrion	-	-	1587	1644	3571	-	1265	1113
Chamaenerion_angustifolium_Chloroplast	4094	-	-	761	3993	-	-	2359
Chamaenerion_angustifolium_Chromosome	-	-	5211	-	3633	3968	5211	691
Chamaenerion_angustifolium_Mitochondrion	-	-	555	697	121	-	1887	2893
Citrus_sinensis_Chloroplast	4094	-	103	531	4495	-	269	2930
Citrus_sinensis_Chromosome	5351	-	5351	-	1013	4103	5983	1173
Citrus_sinensis_Mitochondrion	1561	-	1026	531	2414	-	1279	2646
Diphasiastrum_alpinum_Chloroplast	-	-	-	-	-	-	-	-
Diphasiastrum_alpinum_Chromosome	919	-	919	-	-	824	919	87
Diphasiastrum_alpinum_Mitochondrion	-	-	-	-	-	-	-	-
Dryas_octopetala_Chloroplast	12231	13376	85849	70408	73665	67722	117415	122318
Dryas_octopetala_Chromosome	7109	8637	146017	226058	29644	75677	1062285	1495968
Dryas_octopetala_Mitochondrion	-	-	30676	50123	500	647	238634	244945
Eleocharis_quinqueflora_Chloroplast	-	-	91	-	1679	-	448	1074
Eleocharis_quinqueflora_Chromosome	4080	-	4171	249	1058	2838	5244	1301
Eleocharis_quinqueflora_Mitochondrion	-	-	-	-	-	-	227	854
Eriophorum_vaginatum_Chromosome	3655	-	3820	555	496	2374	5360	6143
Eriophorum_vaginatum_Mitochondrion	-	-	119	-	707	-	355	2276
Hydra_vulgaris_Chromosome	66	-	66	-	-	65	66	-
Ipomoea_triloba_Chloroplast	-	-	278	-	3618	-	-	1798
Ipomoea_triloba_Chromosome	6946	-	6681	1133	3453	4138	7502	4063
Limulus_polyphemus_Mitochondrion	-	-	-	-	-	-	-	-
Linum_lewisii_Chromosome	5459	-	6058	697	2326	4213	6133	3095
Matricaria_discoidea_Chloroplast	4094	-	138	-	3892	-	-	2913
Matricaria_discoidea_Chromosome	5214	-	6275	-	2992	3946	5701	4358
Matricaria_discoidea_Mitochondrion	-	-	923	2193	-	-	299	897
Mentha_aquatica_Chromosome	1561	-	749	-	3550	-	107	3060
Mentha_aquatica_Mitochondrion	-	-	-	-	424	-	189	889
Myrica_gale_Chloroplast	4599	-	1575	1955	5122	-	1099	3015
Myrica_gale_Chromosome	-	-	770	695	1802	-	906	1248
Myrica_gale_Mitochondrion	-	-	1738	4511	2513	-	3298	4984
Nilaparvata_lugens_Chromosome	-	-	-	-	-	-	-	-
Nilaparvata_lugens_Mitochondrion	-	-	-	-	-	-	-	-
Populus_euphratica_Chloroplast	15900	26209	25072	17088	32542	23611	27811	13836
Populus_tremula_Chloroplast	15211	22479	21030	14345	27954	24439	29912	10414
Populus_tremula_Chromosome	570	1968	1706	2902	5950	3117	16463	29062
Populus_tremula_Mitochondrion	-	734	6017	11228	1398	-	51039	60626
Populus_trichocarpa_Chloroplast	16009	26209	25108	19100	31775	24308	32508	11290
Populus_trichocarpa_Chromosome	8235	17254	31716	26883	21279	19565	74103	78616
Salix_caprea_Chloroplast	30566	48031	105248	74938	102027	98229	125039	117949
Salix_caprea_Chromosome	1069	3056	93427	143453	15054	21328	514763	764411
Salix_caprea_Mitochondrion	-	-	8800	16872	93	74	210975	225819
Salix_reticulata_Chloroplast	32303	49052	104230	74766	104793	99879	127739	121880
Salix_reticulata_Chromosome	8595	5337	105457	157532	9883	29035	534376	832152
Salix_reticulata_Mitochondrion	-	-	8140	18289	93	74	211068	229142
Scirpus_sylvaticus_Chromosome	2988	-	3094	643	1254	2064	5120	4758
Scirpus_sylvaticus_Mitochondrion	-	-	-	-	607	-	440	884
Solanum_tuberosum_Chloroplast	-	-	444	-	3858	95	-	2991
Trifolium_pratense_Mitochondrion	-	-	555	1246	-	-	1480	1507
Triglochin_maritima_Chloroplast	-	-	100	-	3751	-	704	3044
Triglochin_maritima_Chromosome	-	-	1922	576	1813	508	12146	26965
Triglochin_maritima_Mitochondrion	-	-	173	-	-	-	-	1110
Vaccinium_myrtillus_Chromosome	-	-	5485	-	982	4091	5869	3523
Veronica_serpyllifolia_Chloroplast	1561	-	140	-	3768	-	-	1234
Veronica_serpyllifolia_Chromosome	5223	-	5320	-	3640	3976	5426	3119
Veronica_serpyllifolia_Mitochondrion	-	-	-	-	-	-	394	814
