Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Alnus_glutinosa_Chromosome	-	-	7920	-	4764	6478	9098	1278
Amborella_trichopoda_Chloroplast	-	-	0	-	4764	-	-	1278
Carex_acutiformis_Chromosome	-	-	10161	1038	4764	-	25845	12806
Carex_acutiformis_Mitochondrion	-	-	-	-	4764	-	0	-
Carex_echinata_Chloroplast	-	-	3379	1806	4764	0	6118	5286
Carex_echinata_Chromosome	-	-	1138	1038	4764	0	2847	6393
Carex_echinata_Mitochondrion	-	-	-	-	4764	-	0	0
Carex_elata_Chromosome	-	-	0	1038	4764	0	4186	6192
Carex_elata_Mitochondrion	-	-	-	-	4764	-	0	-
Carex_myosuroides_Chromosome	-	-	3379	1806	4764	-	10451	9768
Carex_nigra_Chloroplast	-	-	5561	1806	4764	-	15853	29736
Carex_nigra_Chromosome	-	-	2241	1038	4764	0	2847	6337
Carex_nigra_Mitochondrion	-	-	-	-	-	-	0	-
Carex_rostrata_Chloroplast	-	0	7443	2846	4764	0	34531	57665
Carex_rostrata_Chromosome	-	-	2241	1038	4764	0	12791	22434
Carex_rostrata_Mitochondrion	-	-	-	-	4764	-	0	-
Carex_sylvatica_Chloroplast	-	-	4487	2861	4764	-	15987	19692
Carex_sylvatica_Chromosome	-	-	2241	1038	4764	-	7766	5393
Carex_sylvatica_Mitochondrion	-	-	-	-	-	-	0	0
Carica_papaya_Chloroplast	4094	-	0	0	4764	0	-	1918
Carica_papaya_Mitochondrion	-	-	0	1068	4764	-	0	3028
Chamaenerion_angustifolium_Chloroplast	4094	-	0	0	4764	-	-	0
Chamaenerion_angustifolium_Chromosome	-	-	7920	-	4764	6478	7908	1590
Chamaenerion_angustifolium_Mitochondrion	-	-	0	0	0	-	1190	3028
Citrus_sinensis_Chloroplast	4094	-	0	0	4764	-	1190	1278
Citrus_sinensis_Chromosome	7808	-	7920	-	4764	6478	9098	5422
