Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Alnus_glutinosa_Chromosome	-	-	0.998	-	1.000	0.998	1.012	2.515
Amborella_trichopoda_Chloroplast	-	-	3.912	-	1.248	-	-	1.002
Carex_acutiformis_Chromosome	-	-	1.053	1.052	1.172	-	1.220	1.140
Carex_acutiformis_Mitochondrion	-	-	-	-	1.007	-	1.853	-
Carex_echinata_Chloroplast	-	-	1.126	1.011	1.379	1.222	1.059	1.025
Carex_echinata_Chromosome	-	-	1.225	1.004	1.455	1.231	1.238	1.225
Carex_echinata_Mitochondrion	-	-	-	-	1.007	-	1.676	3.195
Carex_elata_Chromosome	-	-	1.145	1.088	1.165	1.429	1.266	1.142
Carex_elata_Mitochondrion	-	-	-	-	1.007	-	1.853	-
Carex_myosuroides_Chromosome	-	-	1.176	1.002	1.426	-	1.094	1.141
Carex_nigra_Chloroplast	-	-	1.045	1.008	1.200	-	1.042	1.019
Carex_nigra_Chromosome	-	-	1.242	1.067	1.375	1.014	1.180	1.120
Carex_nigra_Mitochondrion	-	-	-	-	-	-	1.848	-
Carex_rostrata_Chloroplast	-	1.000	1.026	1.009	1.044	1.189	1.043	1.027
Carex_rostrata_Chromosome	-	-	1.076	1.023	1.085	1.455	1.149	1.104
Carex_rostrata_Mitochondrion	-	-	-	-	1.007	-	1.853	-
Carex_sylvatica_Chloroplast	-	-	1.053	1.007	1.146	-	1.043	1.025
Carex_sylvatica_Chromosome	-	-	1.163	1.067	1.458	-	1.158	1.242
Carex_sylvatica_Mitochondrion	-	-	-	-	-	-	2.109	1.060
Carica_papaya_Chloroplast	1.000	-	1.376	1.011	1.071	6.341	-	1.005
Carica_papaya_Mitochondrion	-	-	1.006	1.006	1.336	-	1.348	1.000
Chamaenerion_angustifolium_Chloroplast	1.000	-	-	1.000	1.222	-	-	1.002
Chamaenerion_angustifolium_Chromosome	-	-	0.999	-	0.998	0.999	0.999	1.006
Chamaenerion_angustifolium_Mitochondrion	-	-	1.000	1.001	1.000	-	1.264	1.002
Citrus_sinensis_Chloroplast	1.000	-	7.330	1.000	1.083	-	1.000	1.001
Citrus_sinensis_Chromosome	0.999	-	0.999	-	1.000	0.999	1.059	1.850
Citrus_sinensis_Mitochondrion	1.001	-	1.644	1.000	0.998	-	1.220	1.002
Diphasiastrum_alpinum_Chloroplast	-	-	-	-	-	-	-	-
Diphasiastrum_alpinum_Chromosome	1.000	-	1.000	-	-	1.000	1.000	1.000
Diphasiastrum_alpinum_Mitochondrion	-	-	-	-	-	-	-	-
Dryas_octopetala_Chloroplast	1.040	1.195	1.022	1.012	1.024	1.032	1.044	1.007
