Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Alnus_glutinosa_Chromosome	-	-	304.65	-	0.00	375.00	248.18	0.00
Amborella_trichopoda_Chloroplast	-	-	0.00	-	230.89	-	-	115.67
Carex_acutiformis_Chromosome	-	-	169.80	100.56	74.05	-	151.05	79.19
Carex_acutiformis_Mitochondrion	-	-	-	-	666.67	-	0.00	-
Carex_echinata_Chloroplast	-	-	20.04	65.22	0.00	207.04	138.77	98.26
Carex_echinata_Chromosome	-	-	85.14	89.26	235.48	323.97	88.32	112.84
Carex_echinata_Mitochondrion	-	-	-	-	666.67	-	0.00	0.00
Carex_elata_Chromosome	-	-	0.00	27.93	0.00	348.43	104.32	115.37
Carex_elata_Mitochondrion	-	-	-	-	666.67	-	0.00	-
Carex_myosuroides_Chromosome	-	-	25.97	51.47	0.00	-	132.98	139.01
Carex_nigra_Chloroplast	-	-	17.42	54.59	0.00	-	111.39	116.22
Carex_nigra_Chromosome	-	-	0.00	105.35	0.00	0.00	125.53	140.64
Carex_nigra_Mitochondrion	-	-	-	-	-	-	0.00	-
Carex_rostrata_Chloroplast	-	0.00	40.24	28.96	49.26	88.03	85.58	63.44
Carex_rostrata_Chromosome	-	-	92.46	82.00	311.53	0.00	128.13	120.32
Carex_rostrata_Mitochondrion	-	-	-	-	666.67	-	0.00	-
Carex_sylvatica_Chloroplast	-	-	21.59	37.50	0.00	-	106.94	100.43
Carex_sylvatica_Chromosome	-	-	0.00	87.57	268.82	-	141.84	84.34
Carex_sylvatica_Mitochondrion	-	-	-	-	-	-	0.00	200.00
Carica_papaya_Chloroplast	48.85	-	217.16	0.00	259.60	0.00	-	0.00
Carica_papaya_Mitochondrion	-	-	189.16	242.72	196.24	-	158.10	0.00
Chamaenerion_angustifolium_Chloroplast	48.85	-	-	262.81	175.04	-	-	0.00
Chamaenerion_angustifolium_Chromosome	-	-	383.36	-	219.78	453.17	383.36	0.00
Chamaenerion_angustifolium_Mitochondrion	-	-	0.00	0.00	0.00	-	0.00	0.00
Citrus_sinensis_Chloroplast	97.70	-	0.00	0.00	355.95	-	0.00	0.00
Citrus_sinensis_Chromosome	298.84	-	298.84	-	0.00	365.32	267.29	0.00
Citrus_sinensis_Mitochondrion	64.10	-	194.93	0.00	248.24	-	156.37	0.00
Diphasiastrum_alpinum_Chloroplast	-	-	-	-	-	-	-	-
Diphasiastrum_alpinum_Chromosome	0.00	-	0.00	-	-	0.00	0.00	0.00
Diphasiastrum_alpinum_Mitochondrion	-	-	-	-	-	-	-	-
Dryas_octopetala_Chloroplast	73.61	67.57	11.83	11.45	35.69	19.37	17.67	0.82
Dryas_octopetala_Chromosome	168.66	57.92	54.09	61.07	53.96	125.52	103.22	112.97
Dryas_octopetala_Mitochondrion	-	-	61.98	47.99	0.00	150.83	34.38	37.52
Eleocharis_quinqueflora_Chloroplast	-	-	0.00	-	0.00	-	222.72	93.11
Eleocharis_quinqueflora_Chromosome	244.98	-	239.64	0.00	0.00	35.22	266.82	0.00
Eleocharis_quinqueflora_Mitochondrion	-	-	-	-	-	-	0.00	0.00
Eriophorum_vaginatum_Chromosome	164.07	-	209.31	179.86	601.20	42.11	167.88	97.67
Eriophorum_vaginatum_Mitochondrion	-	-	0.00	-	0.00	-	0.00	132.10
Hydra_vulgaris_Chromosome	0.00	-	0.00	-	-	0.00	0.00	-
Ipomoea_triloba_Chloroplast	-	-	0.00	-	138.35	-	-	55.46
Ipomoea_triloba_Chromosome	273.34	-	329.24	263.16	144.97	386.47	253.10	24.58
Limulus_polyphemus_Mitochondrion	-	-	-	-	-	-	-	-
Linum_lewisii_Chromosome	219.74	-	214.49	0.00	43.08	261.03	195.60	134.27
Matricaria_discoidea_Chloroplast	48.85	-	0.00	-	180.09	-	-	68.42
Matricaria_discoidea_Chromosome	268.71	-	271.00	-	100.30	278.48	245.74	45.79
Matricaria_discoidea_Mitochondrion	-	-	324.32	227.69	-	-	0.00	0.00
Mentha_aquatica_Chromosome	0.00	-	133.69	-	398.75	-	0.00	97.94
Mentha_aquatica_Mitochondrion	-	-	-	-	715.99	-	531.91	0.00
Myrica_gale_Chloroplast	43.49	-	126.98	153.61	215.31	-	0.00	33.16
Myrica_gale_Chromosome	-	-	260.42	144.09	277.93	-	110.50	80.19
Myrica_gale_Mitochondrion	-	-	172.12	132.98	79.74	-	30.32	80.35
Nilaparvata_lugens_Chromosome	-	-	-	-	-	-	-	-
Nilaparvata_lugens_Mitochondrion	-	-	-	-	-	-	-	-
Populus_euphratica_Chloroplast	75.50	57.20	51.83	41.09	102.96	59.83	126.16	30.56
Populus_tremula_Chloroplast	72.44	53.48	47.69	49.07	101.67	78.01	132.20	20.36
Populus_tremula_Chromosome	0.00	254.97	0.00	34.57	202.67	128.33	78.87	137.52
Populus_tremula_Mitochondrion	-	0.00	148.88	177.84	142.15	-	115.61	168.53
Populus_trichocarpa_Chloroplast	62.50	53.47	52.24	57.74	95.71	66.27	126.16	18.04
Populus_trichocarpa_Chromosome	72.89	46.41	88.90	74.49	68.71	56.79	69.17	107.12
Salix_caprea_Chloroplast	29.59	64.58	30.89	14.90	47.07	51.32	42.46	22.38
Salix_caprea_Chromosome	280.90	294.60	62.04	50.96	126.25	135.86	92.52	101.02
Salix_caprea_Mitochondrion	-	-	79.77	101.38	0.00	0.00	30.94	52.05
Salix_reticulata_Chloroplast	34.21	55.17	27.43	27.05	37.89	50.48	25.69	13.28
Salix_reticulata_Chromosome	58.30	93.70	54.07	53.38	141.56	144.79	86.29	102.54
Salix_reticulata_Mitochondrion	-	-	86.26	104.49	0.00	0.00	29.00	46.42
Scirpus_sylvaticus_Chromosome	200.67	-	193.80	0.00	79.81	96.90	214.76	63.06
Scirpus_sylvaticus_Mitochondrion	-	-	-	-	0.00	-	227.79	113.12
Solanum_tuberosum_Chloroplast	-	-	0.00	-	129.74	1041.67	-	100.07
Trifolium_pratense_Mitochondrion	-	-	0.00	239.23	-	-	0.00	132.71
Triglochin_maritima_Chloroplast	-	-	0.00	-	266.52	-	0.00	32.86
Triglochin_maritima_Chromosome	-	-	52.00	336.13	0.00	0.00	107.00	174.20
Triglochin_maritima_Mitochondrion	-	-	0.00	-	-	-	-	180.67
Vaccinium_myrtillus_Chromosome	-	-	382.51	-	0.00	488.40	357.51	28.38
Veronica_serpyllifolia_Chloroplast	0.00	-	0.00	-	185.92	-	-	241.35
Veronica_serpyllifolia_Chromosome	287.19	-	281.95	-	164.97	377.26	276.45	191.88
Veronica_serpyllifolia_Mitochondrion	-	-	-	-	-	-	0.00	0.00
