Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Alnus_glutinosa_Chromosome	-	-	7920	-	0	6478	7908	0
Amborella_trichopoda_Chloroplast	-	-	0	-	0	-	-	0
Carex_acutiformis_Chromosome	-	-	0	525	614	-	2427	3368
Carex_acutiformis_Mitochondrion	-	-	-	-	0	-	0	-
Carex_echinata_Chloroplast	-	-	0	0	0	0	810	1278
Carex_echinata_Chromosome	-	-	0	0	0	0	1927	2085
Carex_echinata_Mitochondrion	-	-	-	-	0	-	0	0
Carex_elata_Chromosome	-	-	0	0	0	0	560	3210
Carex_elata_Mitochondrion	-	-	-	-	0	-	0	-
Carex_myosuroides_Chromosome	-	-	0	0	0	-	2530	3604
Carex_nigra_Chloroplast	-	-	0	0	0	-	4025	1278
Carex_nigra_Chromosome	-	-	0	0	0	0	1742	3769
Carex_nigra_Mitochondrion	-	-	-	-	-	-	0	-
Carex_rostrata_Chloroplast	-	0	587	0	614	0	6527	1278
Carex_rostrata_Chromosome	-	-	0	525	809	534	8845	8498
Carex_rostrata_Mitochondrion	-	-	-	-	0	-	0	-
Carex_sylvatica_Chloroplast	-	-	0	0	0	-	6664	1278
Carex_sylvatica_Chromosome	-	-	527	525	0	-	6198	2488
Carex_sylvatica_Mitochondrion	-	-	-	-	-	-	0	0
Carica_papaya_Chloroplast	0	-	0	0	0	0	-	0
Carica_papaya_Mitochondrion	-	-	0	0	4764	-	0	0
Chamaenerion_angustifolium_Chloroplast	0	-	-	0	0	-	-	0
Chamaenerion_angustifolium_Chromosome	-	-	0	-	0	0	0	0
Chamaenerion_angustifolium_Mitochondrion	-	-	0	0	0	-	0	0
Citrus_sinensis_Chloroplast	0	-	0	0	0	-	0	0
Citrus_sinensis_Chromosome	0	-	0	-	0	0	0	0
Citrus_sinensis_Mitochondrion	0	-	0	0	0	-	0	0
Diphasiastrum_alpinum_Chloroplast	-	-	-	-	-	-	-	-
Diphasiastrum_alpinum_Chromosome	0	-	0	-	-	0	0	0
Diphasiastrum_alpinum_Mitochondrion	-	-	-	-	-	-	-	-
Dryas_octopetala_Chloroplast	0	0	0	0	0	0	0	0
Dryas_octopetala_Chromosome	539	0	2763	8103	1049	4772	99930	164930
Dryas_octopetala_Mitochondrion	-	-	0	1327	0	0	11026	11820
Eleocharis_quinqueflora_Chloroplast	-	-	0	-	0	-	0	0
Eleocharis_quinqueflora_Chromosome	0	-	0	0	0	0	0	0
Eleocharis_quinqueflora_Mitochondrion	-	-	-	-	-	-	0	0
Eriophorum_vaginatum_Chromosome	0	-	0	0	0	0	0	1278
Eriophorum_vaginatum_Mitochondrion	-	-	0	-	0	-	0	1278
Hydra_vulgaris_Chromosome	0	-	0	-	-	0	0	-
Ipomoea_triloba_Chloroplast	-	-	0	-	0	-	-	0
Ipomoea_triloba_Chromosome	0	-	0	0	4764	0	0	0
Limulus_polyphemus_Mitochondrion	-	-	-	-	-	-	-	-
Linum_lewisii_Chromosome	0	-	0	0	0	0	0	0
Matricaria_discoidea_Chloroplast	0	-	0	-	0	-	-	0
Matricaria_discoidea_Chromosome	0	-	0	-	0	0	0	1590
Matricaria_discoidea_Mitochondrion	-	-	0	0	-	-	0	1590
Mentha_aquatica_Chromosome	0	-	0	-	0	-	0	0
Mentha_aquatica_Mitochondrion	-	-	-	-	0	-	0	0
Myrica_gale_Chloroplast	0	-	0	0	0	-	0	0
Myrica_gale_Chromosome	-	-	0	0	0	-	0	591
Myrica_gale_Mitochondrion	-	-	0	0	0	-	0	0
Nilaparvata_lugens_Chromosome	-	-	-	-	-	-	-	-
Nilaparvata_lugens_Mitochondrion	-	-	-	-	-	-	-	-
Populus_euphratica_Chloroplast	0	0	0	0	0	0	0	0
Populus_tremula_Chloroplast	0	0	0	0	0	0	0	0
Populus_tremula_Chromosome	0	0	0	0	4764	0	1804	4516
Populus_tremula_Mitochondrion	-	0	0	667	0	-	3630	9600
Populus_trichocarpa_Chloroplast	0	0	0	0	0	0	0	0
Populus_trichocarpa_Chromosome	0	0	7920	0	0	0	613	8558
Salix_caprea_Chloroplast	0	0	0	0	0	0	0	0
Salix_caprea_Chromosome	0	0	2237	3039	0	3114	65807	88619
Salix_caprea_Mitochondrion	-	-	0	667	0	0	7789	12263
Salix_reticulata_Chloroplast	0	0	0	0	0	0	0	0
Salix_reticulata_Chromosome	7808	0	2279	5098	0	9622	77381	83828
Salix_reticulata_Mitochondrion	-	-	0	667	0	0	8519	12882
Scirpus_sylvaticus_Chromosome	0	-	0	1038	0	0	810	1278
Scirpus_sylvaticus_Mitochondrion	-	-	-	-	0	-	0	1278
Solanum_tuberosum_Chloroplast	-	-	0	-	0	0	-	0
Trifolium_pratense_Mitochondrion	-	-	0	0	-	-	0	0
Triglochin_maritima_Chloroplast	-	-	0	-	0	-	0	0
Triglochin_maritima_Chromosome	-	-	0	0	0	0	0	3380
Triglochin_maritima_Mitochondrion	-	-	0	-	-	-	-	0
Vaccinium_myrtillus_Chromosome	-	-	7920	-	0	6478	7908	1102
Veronica_serpyllifolia_Chloroplast	0	-	0	-	0	-	-	0
Veronica_serpyllifolia_Chromosome	0	-	0	-	0	0	0	0
Veronica_serpyllifolia_Mitochondrion	-	-	-	-	-	-	0	0
