Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Alnus_glutinosa_Chromosome	-	-	-	-	-	-	-	-
Amborella_trichopoda_Chloroplast	-	-	-	-	-	-	-	-
Carex_acutiformis_Chromosome	-	-	-	-	-	-	-	-
Carex_acutiformis_Mitochondrion	-	-	-	-	-	-	-	-
Carex_echinata_Chloroplast	-	-	-	-	-	-	-	-
Carex_echinata_Chromosome	-	-	-	-	-	-	-	-
Carex_echinata_Mitochondrion	-	-	-	-	-	-	-	-
Carex_elata_Chromosome	-	-	-	-	-	-	-	-
Carex_elata_Mitochondrion	-	-	-	-	-	-	-	-
Carex_myosuroides_Chromosome	-	-	-	-	-	-	-	-
Carex_nigra_Chloroplast	-	-	-	-	-	-	-	-
Carex_nigra_Chromosome	-	-	-	-	-	-	-	-
Carex_nigra_Mitochondrion	-	-	-	-	-	-	-	-
Carex_rostrata_Chloroplast	-	-	-	-	-	-	-	-
Carex_rostrata_Chromosome	-	-	-	-	-	-	-	-
Carex_rostrata_Mitochondrion	-	-	-	-	-	-	-	-
Carex_sylvatica_Chloroplast	-	-	-	-	-	-	-	-
Carex_sylvatica_Chromosome	-	-	-	-	-	-	-	-
Carex_sylvatica_Mitochondrion	-	-	-	-	-	-	-	-
Carica_papaya_Chloroplast	-	-	-	-	-	-	-	-
Carica_papaya_Mitochondrion	-	-	-	-	-	-	-	-
Chamaenerion_angustifolium_Chloroplast	-	-	-	-	-	-	-	-
Chamaenerion_angustifolium_Chromosome	-	-	-	-	-	-	-	-
Chamaenerion_angustifolium_Mitochondrion	-	-	-	-	-	-	-	-
Citrus_sinensis_Chloroplast	-	-	-	-	-	-	-	-
Citrus_sinensis_Chromosome	-	-	-	-	-	-	-	-
Citrus_sinensis_Mitochondrion	-	-	-	-	-	-	-	-
Diphasiastrum_alpinum_Chloroplast	-	-	-	-	-	-	-	-
Diphasiastrum_alpinum_Chromosome	-	-	-	-	-	-	-	-
Diphasiastrum_alpinum_Mitochondrion	-	-	-	-	-	-	-	-
Dryas_octopetala_Chloroplast	-	-	69	-	-	-	14	6
Dryas_octopetala_Chromosome	-	-	-	-	-	-	-	-
Dryas_octopetala_Mitochondrion	-	-	-	-	-	-	151	137
Eleocharis_quinqueflora_Chloroplast	-	-	-	-	-	-	-	-
Eleocharis_quinqueflora_Chromosome	-	-	-	-	-	-	-	-
Eleocharis_quinqueflora_Mitochondrion	-	-	-	-	-	-	-	-
Eriophorum_vaginatum_Chromosome	-	-	-	-	-	-	-	-
Eriophorum_vaginatum_Mitochondrion	-	-	-	-	-	-	-	-
Hydra_vulgaris_Chromosome	-	-	-	-	-	-	-	-
Ipomoea_triloba_Chloroplast	-	-	-	-	-	-	-	-
Ipomoea_triloba_Chromosome	-	-	-	-	-	-	-	-
Limulus_polyphemus_Mitochondrion	-	-	-	-	-	-	-	-
Linum_lewisii_Chromosome	-	-	-	-	-	-	-	-
Matricaria_discoidea_Chloroplast	-	-	-	-	-	-	-	-
Matricaria_discoidea_Chromosome	-	-	-	-	-	-	-	-
Matricaria_discoidea_Mitochondrion	-	-	-	-	-	-	-	-
Mentha_aquatica_Chromosome	-	-	-	-	-	-	-	-
Mentha_aquatica_Mitochondrion	-	-	-	-	-	-	-	-
Myrica_gale_Chloroplast	-	-	-	-	-	-	-	-
Myrica_gale_Chromosome	-	-	-	-	-	-	-	-
Myrica_gale_Mitochondrion	-	-	-	-	-	-	-	-
Nilaparvata_lugens_Chromosome	-	-	-	-	-	-	-	-
Nilaparvata_lugens_Mitochondrion	-	-	-	-	-	-	-	-
Populus_euphratica_Chloroplast	-	-	-	-	-	-	-	-
Populus_tremula_Chloroplast	-	-	-	-	-	-	-	-
Populus_tremula_Chromosome	-	-	-	-	-	-	-	-
Populus_tremula_Mitochondrion	-	-	-	-	-	-	-	-
Populus_trichocarpa_Chloroplast	-	-	-	-	-	-	-	-
Populus_trichocarpa_Chromosome	-	-	-	-	-	-	-	-
Salix_caprea_Chloroplast	-	-	53	-	55	58	11	10
Salix_caprea_Chromosome	-	-	-	-	-	-	-	-
Salix_caprea_Mitochondrion	-	-	-	-	-	-	-	-
Salix_reticulata_Chloroplast	-	-	54	-	54	57	10	10
Salix_reticulata_Chromosome	-	-	-	-	-	-	-	-
Salix_reticulata_Mitochondrion	-	-	-	-	-	-	-	-
Scirpus_sylvaticus_Chromosome	-	-	-	-	-	-	-	-
Scirpus_sylvaticus_Mitochondrion	-	-	-	-	-	-	-	-
Solanum_tuberosum_Chloroplast	-	-	-	-	-	-	-	-
Trifolium_pratense_Mitochondrion	-	-	-	-	-	-	-	-
Triglochin_maritima_Chloroplast	-	-	-	-	-	-	-	-
Triglochin_maritima_Chromosome	-	-	-	-	-	-	-	-
Triglochin_maritima_Mitochondrion	-	-	-	-	-	-	-	-
Vaccinium_myrtillus_Chromosome	-	-	-	-	-	-	-	-
Veronica_serpyllifolia_Chloroplast	-	-	-	-	-	-	-	-
Veronica_serpyllifolia_Chromosome	-	-	-	-	-	-	-	-
Veronica_serpyllifolia_Mitochondrion	-	-	-	-	-	-	-	-
