Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Alnus_glutinosa_Chromosome	-	-	1	-	1	1	3	2
Amborella_trichopoda_Chloroplast	-	-	1	-	2	-	-	3
Carex_acutiformis_Chromosome	-	-	8	8	4	-	29	50
Carex_acutiformis_Mitochondrion	-	-	-	-	1	-	2	-
Carex_echinata_Chloroplast	-	-	8	5	2	1	18	21
Carex_echinata_Chromosome	-	-	3	4	3	2	18	36
Carex_echinata_Mitochondrion	-	-	-	-	1	-	3	1
Carex_elata_Chromosome	-	-	4	6	3	3	32	78
Carex_elata_Mitochondrion	-	-	-	-	1	-	2	-
Carex_myosuroides_Chromosome	-	-	6	4	2	-	19	36
Carex_nigra_Chloroplast	-	-	17	17	2	-	36	44
Carex_nigra_Chromosome	-	-	4	8	3	1	31	86
Carex_nigra_Mitochondrion	-	-	-	-	-	-	2	-
Carex_rostrata_Chloroplast	-	1	28	29	5	4	63	82
Carex_rostrata_Chromosome	-	-	14	15	3	1	65	133
Carex_rostrata_Mitochondrion	-	-	-	-	1	-	2	-
Carex_sylvatica_Chloroplast	-	-	14	14	3	-	35	41
Carex_sylvatica_Chromosome	-	-	6	5	4	-	29	44
Carex_sylvatica_Mitochondrion	-	-	-	-	-	-	3	1
Carica_papaya_Chloroplast	2	-	2	1	3	1	-	6
Carica_papaya_Mitochondrion	-	-	2	2	1	-	3	3
Chamaenerion_angustifolium_Chloroplast	2	-	1	1	2	-	-	4
Chamaenerion_angustifolium_Chromosome	-	-	1	-	1	1	1	2
Chamaenerion_angustifolium_Mitochondrion	-	-	2	1	1	-	4	5
Citrus_sinensis_Chloroplast	2	-	1	1	2	-	1	5
Citrus_sinensis_Chromosome	1	-	1	-	1	1	3	7
Citrus_sinensis_Mitochondrion	1	-	2	1	2	-	2	5
Diphasiastrum_alpinum_Chloroplast	-	-	-	-	-	-	-	-
Diphasiastrum_alpinum_Chromosome	1	-	1	-	-	1	1	2
Diphasiastrum_alpinum_Mitochondrion	-	-	-	-	-	-	-	-
Dryas_octopetala_Chloroplast	16	20	82	75	83	82	41	31
Dryas_octopetala_Chromosome	5	12	190	298	47	99	1513	2020
Dryas_octopetala_Mitochondrion	-	-	50	78	2	1	261	251
Eleocharis_quinqueflora_Chloroplast	-	-	1	-	2	-	3	2
Eleocharis_quinqueflora_Chromosome	1	-	2	1	2	1	7	8
Eleocharis_quinqueflora_Mitochondrion	-	-	-	-	1	1	1	2
Eriophorum_vaginatum_Chromosome	1	-	2	1	2	2	7	19
Eriophorum_vaginatum_Mitochondrion	-	-	1	-	2	-	2	3
Hydra_vulgaris_Chromosome	1	-	1	-	-	1	1	-
Ipomoea_triloba_Chloroplast	-	-	1	-	2	-	-	4
Ipomoea_triloba_Chromosome	2	-	3	2	2	1	5	12
Limulus_polyphemus_Mitochondrion	-	-	-	-	-	-	-	-
Linum_lewisii_Chromosome	2	-	3	1	1	2	5	11
Matricaria_discoidea_Chloroplast	2	-	1	-	2	-	-	5
Matricaria_discoidea_Chromosome	1	-	3	-	2	1	4	10
Matricaria_discoidea_Mitochondrion	-	-	1	3	-	-	2	1
Mentha_aquatica_Chromosome	1	-	2	-	1	-	2	6
Mentha_aquatica_Mitochondrion	-	-	-	-	1	-	1	3
Myrica_gale_Chloroplast	3	-	3	3	3	-	1	5
Myrica_gale_Chromosome	-	-	2	1	1	-	4	3
Myrica_gale_Mitochondrion	-	-	3	6	2	-	5	8
Nilaparvata_lugens_Chromosome	-	-	-	-	-	-	-	-
Nilaparvata_lugens_Mitochondrion	-	-	-	-	-	-	-	-
Populus_euphratica_Chloroplast	17	24	22	21	24	23	9	19
Populus_tremula_Chloroplast	16	21	19	18	21	25	11	18
Populus_tremula_Chromosome	1	3	3	12	4	6	44	65
Populus_tremula_Mitochondrion	-	1	12	17	3	-	73	82
Populus_trichocarpa_Chloroplast	18	24	22	23	24	24	11	18
Populus_trichocarpa_Chromosome	13	20	30	39	20	20	100	129
Salix_caprea_Chloroplast	38	54	97	83	94	91	31	42
Salix_caprea_Chromosome	3	6	124	197	19	34	734	1020
Salix_caprea_Mitochondrion	-	-	16	27	1	1	289	295
Salix_reticulata_Chloroplast	41	56	97	83	96	92	30	43
Salix_reticulata_Chromosome	3	5	134	208	16	35	749	1131
Salix_reticulata_Mitochondrion	-	-	15	29	1	1	288	297
Scirpus_sylvaticus_Chromosome	1	-	2	1	2	2	6	10
Scirpus_sylvaticus_Mitochondrion	-	-	-	-	1	-	1	1
Solanum_tuberosum_Chloroplast	-	-	2	-	2	1	-	6
Trifolium_pratense_Mitochondrion	-	-	1	2	-	-	3	3
Triglochin_maritima_Chloroplast	-	-	1	-	1	-	2	6
Triglochin_maritima_Chromosome	-	-	3	1	2	1	19	40
Triglochin_maritima_Mitochondrion	-	-	1	-	-	-	-	2
Vaccinium_myrtillus_Chromosome	-	-	2	-	1	1	5	7
Veronica_serpyllifolia_Chloroplast	1	-	1	-	1	-	-	2
Veronica_serpyllifolia_Chromosome	1	-	2	-	1	1	2	7
Veronica_serpyllifolia_Mitochondrion	-	-	-	-	-	-	2	2
not_aligned	-	-	2	7	1	2	4	22
