Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Alnus_glutinosa_Chromosome	-	-	2894.14	-	2588.04	3150.00	3210.80	3829.79
Amborella_trichopoda_Chloroplast	-	-	3626.94	-	5438.69	-	-	2255.64
Carex_acutiformis_Chromosome	-	-	2462.15	1488.33	2813.77	-	2908.93	2746.19
Carex_acutiformis_Mitochondrion	-	-	-	-	2666.67	-	3174.60	-
Carex_echinata_Chloroplast	-	-	1021.84	891.30	3155.82	3726.71	1991.40	1554.82
Carex_echinata_Chromosome	-	-	936.57	1874.44	2511.77	3023.76	1556.64	2190.51
Carex_echinata_Mitochondrion	-	-	-	-	2666.67	-	3405.87	4324.32
Carex_elata_Chromosome	-	-	1271.57	1480.45	2613.24	3048.78	2055.72	2275.30
Carex_elata_Mitochondrion	-	-	-	-	2666.67	-	3042.33	-
Carex_myosuroides_Chromosome	-	-	804.99	1003.60	3065.40	-	1875.70	2253.58
Carex_nigra_Chloroplast	-	-	722.93	616.13	2842.89	-	1241.65	974.16
Carex_nigra_Chromosome	-	-	1708.86	2022.76	2930.40	3000.00	1983.43	2590.10
Carex_nigra_Mitochondrion	-	-	-	-	-	-	2374.67	-
Carex_rostrata_Chloroplast	-	0.00	402.43	178.61	2019.70	1012.32	663.66	597.01
Carex_rostrata_Chromosome	-	-	805.71	1424.76	1869.16	4632.15	1489.51	1856.13
Carex_rostrata_Mitochondrion	-	-	-	-	2666.67	-	2777.78	-
Carex_sylvatica_Chloroplast	-	-	690.77	815.60	2564.10	-	1361.03	1112.46
Carex_sylvatica_Chromosome	-	-	1359.16	2860.48	3010.75	-	1926.60	1977.41
Carex_sylvatica_Mitochondrion	-	-	-	-	-	-	2966.10	4200.00
Carica_papaya_Chloroplast	1001.47	-	11292.07	0.00	2484.70	3658.54	-	678.20
Carica_papaya_Mitochondrion	-	-	1450.19	1820.39	4962.15	-	7351.78	2695.42
Chamaenerion_angustifolium_Chloroplast	1392.28	-	-	1182.65	3800.95	-	-	1017.38
Chamaenerion_angustifolium_Chromosome	-	-	3507.76	-	3846.15	3927.49	3488.59	2894.36
Chamaenerion_angustifolium_Mitochondrion	-	-	720.72	573.89	4132.23	-	1907.79	1520.91
Citrus_sinensis_Chloroplast	1099.17	-	4854.37	376.65	2647.39	-	2973.98	1638.23
Citrus_sinensis_Chromosome	2633.55	-	2633.55	-	3652.52	2898.20	2672.90	2387.04
Citrus_sinensis_Mitochondrion	512.82	-	1754.39	376.65	2399.67	-	12040.66	2607.71
Diphasiastrum_alpinum_Chloroplast	-	-	-	-	-	-	-	-
Diphasiastrum_alpinum_Chromosome	3699.67	-	3699.67	-	-	3762.14	3699.67	3448.28
Diphasiastrum_alpinum_Mitochondrion	-	-	-	-	-	-	-	-
Dryas_octopetala_Chloroplast	1186.00	2500.19	257.85	123.09	500.99	665.94	343.72	29.63
Dryas_octopetala_Chromosome	2037.95	1737.72	777.05	931.93	1554.75	1618.59	1118.95	1141.92
Dryas_octopetala_Mitochondrion	-	-	391.47	541.87	3000.00	603.32	196.97	195.85
Eleocharis_quinqueflora_Chloroplast	-	-	2197.80	-	4050.03	-	3340.76	8473.00
Eleocharis_quinqueflora_Chromosome	4066.63	-	4049.84	4016.06	4631.38	3592.81	3983.23	2690.24
Eleocharis_quinqueflora_Mitochondrion	-	-	-	-	-	-	881.06	3161.59
Eriophorum_vaginatum_Chromosome	3199.34	-	3192.05	3057.55	2805.61	3326.32	3208.36	1676.71
Eriophorum_vaginatum_Mitochondrion	-	-	2521.01	-	4384.72	-	3661.97	1541.17
Hydra_vulgaris_Chromosome	1515.15	-	1515.15	-	-	4615.38	1515.15	-
Ipomoea_triloba_Chloroplast	-	-	3237.41	-	3707.80	-	-	2384.91
Ipomoea_triloba_Chromosome	2963.60	-	3277.46	1228.07	4407.07	3985.51	3450.11	2261.55
Limulus_polyphemus_Mitochondrion	-	-	-	-	-	-	-	-
Linum_lewisii_Chromosome	3570.77	-	3398.78	1147.78	3360.62	3773.14	3341.48	2450.49
Matricaria_discoidea_Chloroplast	1294.58	-	2898.55	-	6225.88	-	-	1573.73
Matricaria_discoidea_Chromosome	3666.03	-	3283.92	-	5282.51	3645.57	3668.60	2174.91
Matricaria_discoidea_Mitochondrion	-	-	1189.19	1684.88	-	-	3010.03	3010.03
Mentha_aquatica_Chromosome	1089.05	-	1737.97	-	2962.12	-	1869.16	1697.68
Mentha_aquatica_Mitochondrion	-	-	-	-	3579.95	-	4255.32	3262.09
Myrica_gale_Chloroplast	1043.71	-	2857.14	1331.29	2994.72	-	4367.61	629.97
Myrica_gale_Chromosome	-	-	1432.29	432.28	3668.70	-	1988.95	1844.43
