Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Alnus_glutinosa_Chromosome	-	-	3393	-	732	3393	3393	235
Amborella_trichopoda_Chloroplast	-	-	102	-	3806	-	-	612
Carex_acutiformis_Chromosome	-	-	1814	1028	825	-	2082	1779
Carex_acutiformis_Mitochondrion	-	-	-	-	151	-	529	-
Carex_echinata_Chloroplast	-	-	1137	1806	825	477	1932	1773
Carex_echinata_Chromosome	-	-	1137	1027	581	533	797	1101
Carex_echinata_Mitochondrion	-	-	-	-	151	-	459	116
Carex_elata_Chromosome	-	-	694	1030	624	535	1339	1272
Carex_elata_Mitochondrion	-	-	-	-	151	-	529	-
Carex_myosuroides_Chromosome	-	-	1137	1806	820	-	1932	2230
Carex_nigra_Chloroplast	-	-	1137	1806	825	-	2407	5442
Carex_nigra_Chromosome	-	-	539	1027	500	500	951	1301
Carex_nigra_Mitochondrion	-	-	-	-	-	-	531	-
Carex_rostrata_Chloroplast	-	786	1882	1806	825	974	3567	5475
Carex_rostrata_Chromosome	-	-	838	1028	552	255	1479	1782
Carex_rostrata_Mitochondrion	-	-	-	-	151	-	529	-
Carex_sylvatica_Chloroplast	-	-	1137	1806	825	-	3172	2803
Carex_sylvatica_Chromosome	-	-	984	1022	407	-	2211	1351
Carex_sylvatica_Mitochondrion	-	-	-	-	-	-	529	500
Carica_papaya_Chloroplast	2533	-	509	525	4392	82	-	647
Carica_papaya_Mitochondrion	-	-	923	1065	1884	-	645	809
Chamaenerion_angustifolium_Chloroplast	2533	-	-	761	3872	-	-	647
Chamaenerion_angustifolium_Chromosome	-	-	5211	-	3633	3968	5211	587
Chamaenerion_angustifolium_Mitochondrion	-	-	555	697	121	-	810	809
Citrus_sinensis_Chloroplast	2533	-	103	531	4392	-	269	647
Citrus_sinensis_Chromosome	5351	-	5351	-	483	4103	5351	350
Citrus_sinensis_Mitochondrion	1561	-	923	531	1248	-	849	813
Diphasiastrum_alpinum_Chloroplast	-	-	-	-	-	-	-	-
Diphasiastrum_alpinum_Chromosome	421	-	421	-	-	421	421	87
Diphasiastrum_alpinum_Mitochondrion	-	-	-	-	-	-	-	-
Dryas_octopetala_Chloroplast	2533	1958	4468	3832	4389	1677	9143	18654
Dryas_octopetala_Chromosome	5361	874	5361	4742	1412	4110	5361	6316
Dryas_octopetala_Mitochondrion	-	-	1165	1568	354	647	3647	3651
Eleocharis_quinqueflora_Chloroplast	-	-	91	-	818	-	204	668
Eleocharis_quinqueflora_Chromosome	4080	-	4080	105	818	884	4080	668
Eleocharis_quinqueflora_Mitochondrion	-	-	-	-	-	-	227	668
Eriophorum_vaginatum_Chromosome	1814	-	1814	555	331	572	1814	1779
Eriophorum_vaginatum_Mitochondrion	-	-	119	-	415	-	155	750
Hydra_vulgaris_Chromosome	66	-	66	-	-	65	66	-
Ipomoea_triloba_Chloroplast	-	-	105	-	3521	-	-	611
Ipomoea_triloba_Chromosome	5385	-	5385	584	2075	4138	5385	735
Limulus_polyphemus_Mitochondrion	-	-	-	-	-	-	-	-
Linum_lewisii_Chromosome	5340	-	5340	697	638	4094	5340	711
Matricaria_discoidea_Chloroplast	2533	-	138	-	3760	-	-	647
Matricaria_discoidea_Chromosome	5214	-	5214	-	2860	3946	5214	809
Matricaria_discoidea_Mitochondrion	-	-	923	1065	-	-	193	809
Mentha_aquatica_Chromosome	1561	-	643	-	3550	-	107	647
Mentha_aquatica_Mitochondrion	-	-	-	-	424	-	189	721
Myrica_gale_Chloroplast	2533	-	563	786	3964	-	1099	698
Myrica_gale_Chromosome	-	-	555	695	670	-	555	601
Myrica_gale_Mitochondrion	-	-	923	1065	1210	-	845	1133
Nilaparvata_lugens_Chromosome	-	-	-	-	-	-	-	-
Nilaparvata_lugens_Mitochondrion	-	-	-	-	-	-	-	-
Populus_euphratica_Chloroplast	2533	3411	3276	2563	4392	2550	8221	2546
Populus_tremula_Chloroplast	2533	3411	3276	2563	4392	2550	8221	860
Populus_tremula_Chromosome	570	754	655	848	1697	778	1034	2566
Populus_tremula_Mitochondrion	-	734	742	1397	1214	-	1568	1563
Populus_trichocarpa_Chloroplast	2533	3411	3276	2563	4392	2550	8221	1088
Populus_trichocarpa_Chromosome	955	1744	6381	2563	4186	2550	8221	4989
Salix_caprea_Chloroplast	2533	3411	4100	2563	4791	4175	11154	16369
Salix_caprea_Chromosome	600	683	2247	2587	2718	2946	7057	5707
Salix_caprea_Mitochondrion	-	-	814	1397	93	74	2472	3338
Salix_reticulata_Chloroplast	2533	3411	4100	2563	4791	4175	11154	16369
Salix_reticulata_Chromosome	7214	2788	7528	2587	1000	5250	7226	5268
Salix_reticulata_Mitochondrion	-	-	814	1397	93	74	2472	3338
Scirpus_sylvaticus_Chromosome	1814	-	1814	336	597	572	1814	1101
Scirpus_sylvaticus_Mitochondrion	-	-	-	-	419	-	440	662
Solanum_tuberosum_Chloroplast	-	-	109	-	3754	95	-	647
Trifolium_pratense_Mitochondrion	-	-	555	697	-	-	652	809
Triglochin_maritima_Chloroplast	-	-	100	-	3751	-	470	613
Triglochin_maritima_Chromosome	-	-	726	576	506	508	1251	1500
Triglochin_maritima_Mitochondrion	-	-	98	-	-	-	-	819
Vaccinium_myrtillus_Chromosome	-	-	3393	-	548	3393	3393	660
Veronica_serpyllifolia_Chloroplast	1561	-	140	-	3768	-	-	647
Veronica_serpyllifolia_Chromosome	5223	-	5223	-	3640	3976	5223	1000
Veronica_serpyllifolia_Mitochondrion	-	-	-	-	-	-	203	711
