Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Alnus_glutinosa_Chromosome	-	-	0.00	-	0.00	0.00	0.00	0.00
Amborella_trichopoda_Chloroplast	-	-	0.00	-	0.00	-	-	0.00
Carex_acutiformis_Chromosome	-	-	0.00	0.00	0.00	-	0.00	0.00
Carex_acutiformis_Mitochondrion	-	-	-	-	0.00	-	0.00	-
Carex_echinata_Chloroplast	-	-	0.00	0.00	0.00	0.00	0.00	0.00
Carex_echinata_Chromosome	-	-	0.00	0.00	0.00	0.00	0.00	0.00
Carex_echinata_Mitochondrion	-	-	-	-	0.00	-	0.00	0.00
Carex_elata_Chromosome	-	-	0.00	0.00	0.00	0.00	0.00	0.00
Carex_elata_Mitochondrion	-	-	-	-	0.00	-	0.00	-
Carex_myosuroides_Chromosome	-	-	0.00	0.00	0.00	-	0.00	0.00
Carex_nigra_Chloroplast	-	-	0.00	0.00	0.00	-	0.00	0.00
Carex_nigra_Chromosome	-	-	0.00	0.00	0.00	0.00	0.00	0.00
Carex_nigra_Mitochondrion	-	-	-	-	-	-	0.00	-
Carex_rostrata_Chloroplast	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Carex_rostrata_Chromosome	-	-	0.00	0.00	0.00	0.00	0.00	0.00
Carex_rostrata_Mitochondrion	-	-	-	-	0.00	-	0.00	-
Carex_sylvatica_Chloroplast	-	-	0.00	0.00	0.00	-	0.00	0.00
Carex_sylvatica_Chromosome	-	-	0.00	0.00	0.00	-	0.00	0.00
Carex_sylvatica_Mitochondrion	-	-	-	-	-	-	0.00	0.00
Carica_papaya_Chloroplast	0.00	-	0.00	0.00	0.00	0.00	-	0.00
Carica_papaya_Mitochondrion	-	-	0.00	0.00	0.00	-	0.00	0.00
Chamaenerion_angustifolium_Chloroplast	0.00	-	0.00	0.00	0.00	-	-	0.00
Chamaenerion_angustifolium_Chromosome	-	-	0.00	-	0.00	0.00	0.00	0.00
Chamaenerion_angustifolium_Mitochondrion	-	-	0.00	0.00	0.00	-	0.00	0.00
Citrus_sinensis_Chloroplast	0.00	-	0.00	0.00	0.00	-	0.00	0.00
Citrus_sinensis_Chromosome	0.00	-	0.00	-	0.00	0.00	0.00	0.00
Citrus_sinensis_Mitochondrion	0.00	-	0.00	0.00	0.00	-	0.00	0.00
Diphasiastrum_alpinum_Chloroplast	-	-	-	-	-	-	-	-
Diphasiastrum_alpinum_Chromosome	0.00	-	0.00	-	-	0.00	0.00	0.00
Diphasiastrum_alpinum_Mitochondrion	-	-	-	-	-	-	-	-
Dryas_octopetala_Chloroplast	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Dryas_octopetala_Chromosome	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Dryas_octopetala_Mitochondrion	-	-	0.00	0.00	0.00	0.00	0.00	0.00
Eleocharis_quinqueflora_Chloroplast	-	-	0.00	-	0.00	-	0.00	0.00
Eleocharis_quinqueflora_Chromosome	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00
Eleocharis_quinqueflora_Mitochondrion	-	-	-	-	0.00	0.00	0.00	0.00
Eriophorum_vaginatum_Chromosome	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00
Eriophorum_vaginatum_Mitochondrion	-	-	0.00	-	0.00	-	0.00	0.00
Hydra_vulgaris_Chromosome	0.00	-	0.00	-	-	0.00	0.00	-
Ipomoea_triloba_Chloroplast	-	-	0.00	-	0.00	-	-	0.00
Ipomoea_triloba_Chromosome	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00
Limulus_polyphemus_Mitochondrion	-	-	-	-	-	-	-	-
Linum_lewisii_Chromosome	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00
Matricaria_discoidea_Chloroplast	0.00	-	0.00	-	0.00	-	-	0.00
Matricaria_discoidea_Chromosome	0.00	-	0.00	-	0.00	0.00	0.00	0.00
Matricaria_discoidea_Mitochondrion	-	-	0.00	0.00	-	-	0.00	0.00
Mentha_aquatica_Chromosome	0.00	-	0.00	-	0.00	-	0.00	0.00
