Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Alnus_glutinosa_Chromosome	-	-	7920	-	4764	6478	7908	1278
Amborella_trichopoda_Chloroplast	-	-	755	-	4764	-	-	1278
Carex_acutiformis_Chromosome	-	-	7920	1038	4764	-	10143	1779
Carex_acutiformis_Mitochondrion	-	-	-	-	4764	-	882	-
Carex_echinata_Chloroplast	-	-	2241	1806	4764	590	2847	1779
Carex_echinata_Chromosome	-	-	1138	1038	4764	590	2847	1590
Carex_echinata_Mitochondrion	-	-	-	-	4764	-	932	591
Carex_elata_Chromosome	-	-	755	1038	4764	583	2847	1290
Carex_elata_Mitochondrion	-	-	-	-	4764	-	882	-
Carex_myosuroides_Chromosome	-	-	2241	1806	4764	-	2847	2231
Carex_nigra_Chloroplast	-	-	2241	1806	4764	-	2847	5481
Carex_nigra_Chromosome	-	-	2241	1038	4764	507	2847	1337
Carex_nigra_Mitochondrion	-	-	-	-	-	-	882	-
Carex_rostrata_Chloroplast	-	786	2241	1806	4764	975	4483	5481
Carex_rostrata_Chromosome	-	-	2241	1038	4764	534	4483	1783
Carex_rostrata_Mitochondrion	-	-	-	-	4764	-	882	-
Carex_sylvatica_Chloroplast	-	-	2241	1806	4764	-	3903	2803
Carex_sylvatica_Chromosome	-	-	2241	1038	4764	-	3903	1519
Carex_sylvatica_Mitochondrion	-	-	-	-	-	-	882	530
Carica_papaya_Chloroplast	2533	-	755	531	4764	520	-	1918
Carica_papaya_Mitochondrion	-	-	932	1068	4764	-	882	1590
Chamaenerion_angustifolium_Chloroplast	2533	-	755	761	4764	-	-	647
Chamaenerion_angustifolium_Chromosome	-	-	7920	-	4764	6478	7908	1590
Chamaenerion_angustifolium_Mitochondrion	-	-	755	698	809	-	1190	1590
Citrus_sinensis_Chloroplast	2533	-	755	531	4764	-	1190	1278
Citrus_sinensis_Chromosome	7808	-	7920	-	4764	6478	7908	1597
Citrus_sinensis_Mitochondrion	1561	-	932	531	4764	-	1626	1590
Diphasiastrum_alpinum_Chloroplast	-	-	-	-	-	-	-	-
Diphasiastrum_alpinum_Chromosome	7808	-	7920	-	-	6478	7908	1109
Diphasiastrum_alpinum_Mitochondrion	-	-	-	-	-	-	-	-
Dryas_octopetala_Chloroplast	2533	1960	4468	3834	4764	2076	9149	18654
Dryas_octopetala_Chromosome	7808	895	7920	4743	4764	6478	7908	6316
Dryas_octopetala_Mitochondrion	-	-	1166	1572	4764	660	3648	3653
Eleocharis_quinqueflora_Chloroplast	-	-	755	-	4764	-	2847	1278
Eleocharis_quinqueflora_Chromosome	7808	-	7920	1038	4764	6478	7908	1597
Eleocharis_quinqueflora_Mitochondrion	-	-	-	-	1020	1018	519	1278
Eriophorum_vaginatum_Chromosome	7808	-	7920	1038	4764	6478	7908	1779
Eriophorum_vaginatum_Mitochondrion	-	-	755	-	4764	-	2847	1278
Hydra_vulgaris_Chromosome	7808	-	7920	-	-	6478	7908	-
Ipomoea_triloba_Chloroplast	-	-	755	-	4764	-	-	1918
Ipomoea_triloba_Chromosome	7808	-	7920	590	4764	6478	7908	1918
Limulus_polyphemus_Mitochondrion	-	-	-	-	-	-	-	-
Linum_lewisii_Chromosome	7808	-	7920	698	4764	6478	7908	1918
Matricaria_discoidea_Chloroplast	2533	-	755	-	4764	-	-	1278
Matricaria_discoidea_Chromosome	7808	-	7920	-	4764	6478	7908	1597
Matricaria_discoidea_Mitochondrion	-	-	932	1068	-	-	882	1590
Mentha_aquatica_Chromosome	1561	-	755	-	4764	-	1190	1590
Mentha_aquatica_Mitochondrion	-	-	-	-	4764	-	711	1590
Myrica_gale_Chloroplast	2533	-	755	786	4764	-	1190	698
Myrica_gale_Chromosome	-	-	755	698	4764	-	1190	1278
Myrica_gale_Mitochondrion	-	-	932	1068	4764	-	1626	1590
Nilaparvata_lugens_Chromosome	-	-	-	-	-	-	-	-
Nilaparvata_lugens_Mitochondrion	-	-	-	-	-	-	-	-
Populus_euphratica_Chloroplast	2533	3426	3276	2564	4764	2551	8810	2546
Populus_tremula_Chloroplast	2533	3426	3276	2564	4764	2551	8810	1918
Populus_tremula_Chromosome	570	760	2241	1942	4764	780	2694	2597
Populus_tremula_Mitochondrion	-	736	7920	1399	4764	-	1793	1941
Populus_trichocarpa_Chloroplast	2533	3426	3276	2564	4764	2551	8810	1918
Populus_trichocarpa_Chromosome	959	1747	7920	2564	4764	2551	8221	4990
Salix_caprea_Chloroplast	2533	3426	4100	2564	4791	4187	11155	16369
Salix_caprea_Chromosome	7808	4847	7920	2613	5908	6478	7908	5708
