Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Alnus_glutinosa_Chromosome	-	-	0.001	-	0.001	0.001	0.001	0.000
Amborella_trichopoda_Chloroplast	-	-	0.119	-	2.396	-	-	1.063
Carex_acutiformis_Chromosome	-	-	0.002	0.001	0.001	-	0.005	0.008
Carex_acutiformis_Mitochondrion	-	-	-	-	0.011	-	0.056	-
Carex_echinata_Chloroplast	-	-	2.787	2.569	0.849	0.270	8.048	9.661
Carex_echinata_Chromosome	-	-	0.001	0.001	0.000	0.000	0.002	0.004
Carex_echinata_Mitochondrion	-	-	-	-	0.009	-	0.065	0.011
Carex_elata_Chromosome	-	-	0.001	0.001	0.001	0.000	0.004	0.011
Carex_elata_Mitochondrion	-	-	-	-	0.011	-	0.057	-
Carex_myosuroides_Chromosome	-	-	0.001	0.001	0.000	-	0.004	0.006
Carex_nigra_Chloroplast	-	-	5.562	6.211	0.971	-	14.786	22.924
Carex_nigra_Chromosome	-	-	0.000	0.001	0.000	0.000	0.004	0.012
Carex_nigra_Mitochondrion	-	-	-	-	-	-	0.052	-
Carex_rostrata_Chloroplast	-	0.356	8.997	9.376	1.838	1.028	25.914	39.951
Carex_rostrata_Chromosome	-	-	0.002	0.003	0.000	0.000	0.010	0.023
Carex_rostrata_Mitochondrion	-	-	-	-	0.009	-	0.048	-
Carex_sylvatica_Chloroplast	-	-	4.307	4.958	1.287	-	14.344	18.050
Carex_sylvatica_Chromosome	-	-	0.001	0.001	0.001	-	0.005	0.006
Carex_sylvatica_Mitochondrion	-	-	-	-	-	-	0.051	0.027
Carica_papaya_Chloroplast	2.557	-	0.575	0.328	3.369	0.051	-	1.842
Carica_papaya_Mitochondrion	-	-	0.333	0.346	0.748	-	0.265	0.233
Chamaenerion_angustifolium_Chloroplast	2.552	-	-	0.474	2.493	-	-	1.471
